K,C,Y,X,R,S,T
64,3,32,32,3,3,1
64,64,32,32,3,3,1
128,64,16,16,3,3,1
128,128,16,16,3,3,1
256,128,8,8,3,3,1
256,256,8,8,3,3,1
256,256,8,8,3,3,1
512,256,4,4,3,3,1
512,512,4,4,3,3,1
512,512,4,4,3,3,1
512,512,2,2,3,3,1
512,512,2,2,3,3,1
512,512,2,2,3,3,1
